"Layer";"Node";"Label";"Degree";"DegreeIn";"DegreeOut";"Strength";"StrengthIn";"StrengthOut";"PageRank";"Eigenvector";"Hub";"Authority";"Katz";"Multiplexity";"Kcore"
"1";1;"Node0";4;1;3;"-";"-";"-";0.0331355115609239;0;2.01251102522572e-16;9.07747445040824e-18;7.38929886086558e-07;"-";"-"
"1";2;"Node1";3;0;3;"-";"-";"-";0.0258198791383822;0;1.08985212442993e-15;2.75178434956967e-17;0;"-";"-"
"1";3;"Node2";8;5;3;"-";"-";"-";0.0687942443346401;5.18133807950707e-18;8.91697192715395e-16;0;4.75062471892137e-06;"-";"-"
"1";4;"Node3";5;2;3;"-";"-";"-";0.0425239065031857;0;4.21079229893381e-16;0;1.7771105224569e-06;"-";"-"
"1";5;"Node4";4;1;3;"-";"-";"-";0.0367933277721947;0;3.09617080803956e-18;1.87138232606364e-17;7.38929886086558e-07;"-";"-"
"1";6;"Node5";3;0;3;"-";"-";"-";0.0258198791383822;0;9.41235925644028e-16;2.75178434956967e-17;0;"-";"-"
"1";7;"Node6";4;1;3;"-";"-";"-";0.035208274080644;0;4.70617962822014e-16;1.59871938081817e-17;1.03818063637034e-06;"-";"-"
"1";8;"Node7";3;0;3;"-";"-";"-";0.0258198791383822;0;1.08985212442993e-15;2.75178434956967e-17;0;"-";"-"
"1";9;"Node8";3;0;3;"-";"-";"-";0.0258198791383822;0;1.08985212442993e-15;2.75178434956967e-17;0;"-";"-"
"1";10;"Node9";2;0;2;"-";"-";"-";0.0258198791383822;0;0;2.09842508575553e-17;0;"-";"-"
"1";11;"Node10";10;9;1;"-";"-";"-";0.468645774585287;3.25280889834417e-15;4.83002646054172e-16;0;6.12174108270488e-05;"-";"-"
"1";12;"Node11";3;0;3;"-";"-";"-";0.0258198791383822;0;5.07772012518489e-16;2.75178434956967e-17;0;"-";"-"
"1";13;"Node12";4;1;3;"-";"-";"-";0.0580858626639942;4.54159506751039e-16;1.91962590098453e-16;0;6.47177056085672e-06;"-";"-"
"1";14;"Node13";3;0;3;"-";"-";"-";0.0258198791383822;0;8.42158459786762e-16;2.75178434956967e-17;0;"-";"-"
"1";15;"Node14";1;0;1;"-";"-";"-";0.0258198791383822;0;5.94464795143596e-16;1.04921254287777e-17;0;"-";"-"
"1";16;"Node15";2;0;2;"-";"-";"-";0.0258198791383822;0;8.42158459786762e-16;2.09842508575553e-17;0;"-";"-"
"1";17;"Node16";3;0;3;"-";"-";"-";0.0258198791383822;0;1.06508275796561e-15;2.75178434956967e-17;0;"-";"-"
"1";18;"Node17";4;1;3;"-";"-";"-";0.0331355115609239;0;1.57904711210018e-16;0;7.38929886086558e-07;"-";"-"
"1";19;"Node18";3;1;2;"-";"-";"-";0.0376718274496397;2.62954219842777e-18;6.31618844840071e-16;0;1.24185418886197e-06;"-";"-"
"1";20;"Node19";7;4;3;"-";"-";"-";0.129386377957813;7.48566508994944e-16;1.18892959028719e-15;0;1.39178257461762e-05;"-";"-"
"1";21;"Node20";1;0;1;"-";"-";"-";0.0258198791383822;0;0;1.04921254287777e-17;0;"-";"-"
"1";22;"Node21";7;4;3;"-";"-";"-";0.102752773721536;6.37660644454338e-16;5.20156695750647e-16;0;1.17163064993125e-05;"-";"-"
"1";23;"Node22";10;7;3;"-";"-";"-";0.124060822583993;6.78690105884253e-16;9.28851242411869e-17;0;1.43449628892003e-05;"-";"-"
"1";24;"Node23";3;0;3;"-";"-";"-";0.0258198791383822;0;1.23846832321583e-15;2.75178434956967e-17;0;"-";"-"
"1";25;"Node24";3;0;3;"-";"-";"-";0.0258198791383822;0;8.42158459786762e-16;2.75178434956967e-17;0;"-";"-"
"1";26;"Node25";4;1;3;"-";"-";"-";0.0331355115609239;0;5.6969542867928e-16;0;7.38929886086558e-07;"-";"-"
"1";27;"Node26";7;5;2;"-";"-";"-";0.110068406144077;6.30167520601343e-16;0;0;1.2455236385399e-05;"-";"-"
"1";28;"Node27";6;3;3;"-";"-";"-";0.112209007788467;7.97245141700193e-16;2.35308981411007e-16;0;1.37533776976766e-05;"-";"-"
"1";29;"Node28";23;20;3;"-";"-";"-";0.661213481901029;3.3971470688468e-15;6.81157577768704e-16;0;7.05796198312481e-05;"-";"-"
"1";30;"Node29";2;0;2;"-";"-";"-";0.0258198791383822;0;1.85770248482374e-16;2.09842508575553e-17;0;"-";"-"
"1";31;"Node30";8;7;1;"-";"-";"-";0.117652576053969;9.18443343448745e-17;6.93542261000863e-16;0;9.02734921852662e-06;"-";"-"
"1";32;"Node31";4;1;3;"-";"-";"-";0.035208274080644;0;9.41235925644028e-16;0;1.03818063637034e-06;"-";"-"
"1";33;"Node32";4;1;3;"-";"-";"-";0.0378683193142848;1.85416821200471e-18;1.48616198785899e-15;0;1.45862152015877e-06;"-";"-"
"1";34;"Node33";2;0;2;"-";"-";"-";0.0258198791383822;0;8.20485264130485e-17;2.09842508575553e-17;0;"-";"-"
"1";35;"Node34";3;0;3;"-";"-";"-";0.0258198791383822;0;8.42158459786762e-16;2.75178434956967e-17;0;"-";"-"
"1";36;"Node35";16;13;3;"-";"-";"-";1;4.67286322227916e-15;1.38708452200173e-15;0;8.257420677195e-05;"-";"-"
"1";37;"Node36";7;4;3;"-";"-";"-";0.113879941855101;7.25415108390846e-16;5.07772012518489e-16;0;1.41559120661958e-05;"-";"-"
"1";38;"Node37";4;1;3;"-";"-";"-";0.0331355115609239;0;0;1.59871938081817e-17;7.38929886086558e-07;"-";"-"
"1";39;"Node38";2;0;2;"-";"-";"-";0.0258198791383822;0;8.42158459786762e-16;2.09842508575553e-17;0;"-";"-"
"1";40;"Node39";7;4;3;"-";"-";"-";0.0796758861618643;5.13004021092889e-17;6.68772894536546e-16;0;4.6139595744659e-06;"-";"-"
"1";41;"Node40";6;5;1;"-";"-";"-";0.288768283565965;2.24040055898025e-15;5.20156695750647e-16;0;4.02994448120134e-05;"-";"-"
"1";42;"Node41";7;4;3;"-";"-";"-";0.145103928727787;4.44872596895992e-16;2.08991529542671e-16;0;1.81019751768284e-05;"-";"-"
"1";43;"Node42";4;4;0;"-";"-";"-";0.197172992743536;1.71203537726153e-15;0;0;2.96862665529264e-05;"-";"-"
"1";44;"Node43";4;1;3;"-";"-";"-";0.0483947135509105;4.95192440894604e-17;5.94464795143596e-16;0;2.60748452223807e-06;"-";"-"
"1";45;"Node44";8;6;2;"-";"-";"-";0.182111720700777;7.73497078020168e-16;1.30039173937662e-16;0;2.78524420888195e-05;"-";"-"
"1";46;"Node45";14;11;3;"-";"-";"-";0.450503172358191;3.00845458141244e-15;0;0;6.30683659381286e-05;"-";"-"
"1";47;"Node46";1;0;1;"-";"-";"-";0.0258198791383822;0;4.89194987670251e-16;1.04921254287777e-17;0;"-";"-"
"1";48;"Node47";3;1;2;"-";"-";"-";0.0331355115609239;0;6.25426503223992e-16;0;7.38929886086558e-07;"-";"-"
"1";49;"Node48";2;1;1;"-";"-";"-";0.035208274080644;0;0;0;1.03818063637034e-06;"-";"-"
"1";50;"Node49";2;0;2;"-";"-";"-";0.0258198791383822;0;2.29116639794928e-16;2.09842508575553e-17;0;"-";"-"
"1";51;"Node50";3;1;2;"-";"-";"-";0.0367933277721947;0;3.18905593228075e-16;1.43613774887056e-17;7.38929886086558e-07;"-";"-"
"1";52;"Node51";6;3;3;"-";"-";"-";0.0545337363968582;0;5.20156695750647e-16;0;2.51604040854345e-06;"-";"-"
"1";53;"Node52";5;2;3;"-";"-";"-";0.056723089436128;8.85592695888721e-17;1.06508275796561e-15;0;2.836849052009e-06;"-";"-"
"1";54;"Node53";2;1;1;"-";"-";"-";0.0331355115609239;0;0;0;7.38929886086558e-07;"-";"-"
"1";55;"Node54";13;10;3;"-";"-";"-";0.160459606545929;7.88163637332947e-16;5.6969542867928e-16;0;1.8565525029627e-05;"-";"-"
"1";56;"Node55";7;4;3;"-";"-";"-";0.105310321769649;0;5.94464795143596e-16;8.12908159738051e-19;3.97466192870222e-06;"-";"-"
"1";57;"Node56";5;2;3;"-";"-";"-";0.0550824088285488;0;1.43662325493036e-15;0;1.47785977217312e-06;"-";"-"
"1";58;"Node57";3;0;3;"-";"-";"-";0.0258198791383822;0;6.56388211304388e-16;2.75178434956967e-17;0;"-";"-"
"1";59;"Node58";2;0;2;"-";"-";"-";0.0258198791383822;0;2.69366860299442e-16;2.09842508575553e-17;0;"-";"-"
"1";60;"Node59";3;0;3;"-";"-";"-";0.0258198791383822;0;3.28194105652194e-16;2.75178434956967e-17;0;"-";"-"
