"Layer";"Node";"Label";"Strength";"StrengthIn";"StrengthOut";"Degree";"DegreeIn";"DegreeOut";"PageRank";"Eigenvector";"Hub";"Authority";"Katz";"Multiplexity";"Kcore"
"1-Multi";1;"Node0";"-";"-";"-";11;2;9;0.0553862835201867;1;-2.99367207208585e-16;8.03661483757966e-17;0.000181806090997369;"-";"-"
"1-Multi";2;"Node1";"-";"-";"-";7;0;7;0.0465865936151104;1;-2.68022099282068e-16;7.51382287416082e-17;0.00034484815164877;"-";"-"
"1-Multi";3;"Node2";"-";"-";"-";23;14;9;0.493496194875956;1;-2.7965605319912e-15;-6.5847798279971e-17;0.000991072152516384;"-";"-"
"1-Multi";4;"Node3";"-";"-";"-";15;6;9;0.157553989726041;1;-1.95191926854256e-15;8.85952016664727e-17;0.000154640859062736;"-";"-"
"1-Multi";5;"Node4";"-";"-";"-";15;6;9;0.081172085809987;1;-1.13541082573659e-15;1.01147553779548e-16;0.000336285006453215;"-";"-"
"1-Multi";6;"Node5";"-";"-";"-";9;2;7;0.0891527436885642;1;-3.69901355488027e-15;8.9557300636946e-17;0.000169060881171972;"-";"-"
"1-Multi";7;"Node6";"-";"-";"-";11;4;7;0.0956984690623289;1;-2.19498581936799e-15;8.60971485576241e-17;0.000122658731421029;"-";"-"
"1-Multi";8;"Node7";"-";"-";"-";12;3;9;0.0955408733152272;1;-3.77643523599506e-16;8.16891622685619e-17;0.000249791987185324;"-";"-"
"1-Multi";9;"Node8";"-";"-";"-";9;0;9;0.0465865936151102;1;-4.42738695610692e-15;7.51382287416082e-17;0.000397319074819917;"-";"-"
"1-Multi";10;"Node9";"-";"-";"-";11;4;7;0.217389682562529;1;-4.24825582530418e-16;8.741123049348e-17;9.06220117880783e-05;"-";"-"
"1-Multi";11;"Node10";"-";"-";"-";23;18;5;0.496039316248128;1;3.79138695442674e-16;-1.7764728347776e-16;0.000124226323659677;"-";"-"
"1-Multi";12;"Node11";"-";"-";"-";12;3;9;0.0677154171564444;1;-1.16457204474162e-15;8.65133086808939e-17;0.000532832959681962;"-";"-"
"1-Multi";13;"Node12";"-";"-";"-";9;2;7;0.242767266107122;1;-4.50258345489798e-16;6.45933550826633e-17;0.000177673674896874;"-";"-"
"1-Multi";14;"Node13";"-";"-";"-";9;1;8;0.0540813461165646;1;-4.42037758589817e-15;8.29283575041984e-17;0.000170329815903016;"-";"-"
"1-Multi";15;"Node14";"-";"-";"-";7;0;7;0.0465865936151102;1;-2.70515456924529e-15;7.51382287416082e-17;0.000450769772772207;"-";"-"
"1-Multi";16;"Node15";"-";"-";"-";8;0;8;0.0465865936151102;1;-2.26225025770037e-15;7.51382287416082e-17;0.0004944737945814;"-";"-"
"1-Multi";17;"Node16";"-";"-";"-";11;2;9;0.0572562176250154;1;1.01864490517015e-15;8.52052523421418e-17;0.000290226734302787;"-";"-"
"1-Multi";18;"Node17";"-";"-";"-";11;3;8;0.129521447666772;1;-2.43886520615039e-16;-1.26920634375296e-18;0.000167258442010406;"-";"-"
"1-Multi";19;"Node18";"-";"-";"-";9;1;8;0.0537147176026425;1;-1.43472691159934e-16;5.473079811031e-17;0.000248517490510895;"-";"-"
"1-Multi";20;"Node19";"-";"-";"-";20;11;9;0.501650404596968;1;-2.91791047584196e-15;1.48520293270267e-17;0.000791497117606783;"-";"-"
"1-Multi";21;"Node20";"-";"-";"-";8;2;6;0.0774513832560915;1;4.42646975680228e-17;8.6613535176986e-17;0.00017064583302069;"-";"-"
"1-Multi";22;"Node21";"-";"-";"-";20;11;9;0.186256555299464;1;-6.87102029536202e-16;9.7184714722986e-17;0.000802769108781274;"-";"-"
"1-Multi";23;"Node22";"-";"-";"-";23;14;9;0.205412232591331;1;-2.31966996122256e-16;-6.69736777987184e-17;0.000768626771620867;"-";"-"
"1-Multi";24;"Node23";"-";"-";"-";7;1;6;0.0613769899376182;1;-5.23679894051563e-15;8.2690688018267e-17;0.000344886299551062;"-";"-"
"1-Multi";25;"Node24";"-";"-";"-";9;3;6;0.123718532066602;1;-3.76208163261657e-15;8.32174049476712e-17;0.000137320479673379;"-";"-"
"1-Multi";26;"Node25";"-";"-";"-";9;1;8;0.0509864385676484;1;-8.00545435252051e-16;5.8680841486681e-18;0.000186247230559469;"-";"-"
"1-Multi";27;"Node26";"-";"-";"-";18;11;7;0.161225478921361;1;-1.53143179892692e-16;7.48737614861465e-17;0.000386786358727993;"-";"-"
"1-Multi";28;"Node27";"-";"-";"-";17;8;9;0.176541664517488;1;7.22502330193611e-16;4.55616958282457e-17;0.000418550180559782;"-";"-"
"1-Multi";29;"Node28";"-";"-";"-";45;37;8;1;1;-6.33815171902093e-16;-1.13818140426489e-15;0.000175364267551009;"-";"-"
"1-Multi";30;"Node29";"-";"-";"-";10;2;8;0.0841795636508149;1;1.18367757350683e-15;8.18857913156977e-17;0.000357454080077822;"-";"-"
"1-Multi";31;"Node30";"-";"-";"-";26;20;6;0.657030590010142;1;-2.18426005254608e-15;-2.49615137810523e-16;0.000940412211646395;"-";"-"
"1-Multi";32;"Node31";"-";"-";"-";11;3;8;0.0637610302442715;1;-3.51818589506804e-15;6.94834491616034e-17;0.000109466982583293;"-";"-"
"1-Multi";33;"Node32";"-";"-";"-";11;3;8;0.0912268907041539;1;-6.00867056602358e-15;6.03135492062408e-17;0.000170426825135301;"-";"-"
"1-Multi";34;"Node33";"-";"-";"-";11;3;8;0.0597861284727249;1;-9.59890804278349e-17;8.62492825124627e-17;0.000215677760329648;"-";"-"
"1-Multi";35;"Node34";"-";"-";"-";15;7;8;0.402183871769846;1;-6.22346324867991e-16;1.12944073292905e-16;0.00094146272658253;"-";"-"
"1-Multi";36;"Node35";"-";"-";"-";37;28;9;0.873048133128336;1;-4.08878499827517e-15;-1.77311112758648e-16;0.000255022644101718;"-";"-"
"1-Multi";37;"Node36";"-";"-";"-";21;13;8;0.539515998476589;1;-1.03417013688374e-15;-3.92816426563328e-17;0.000504986852923663;"-";"-"
"1-Multi";38;"Node37";"-";"-";"-";8;1;7;0.0509864385676484;1;-4.62537344533203e-16;7.67986449820966e-17;0.000114691766869175;"-";"-"
"1-Multi";39;"Node38";"-";"-";"-";8;0;8;0.0465865936151102;1;-2.50119083886777e-15;7.51382287416082e-17;0.000455469631676226;"-";"-"
"1-Multi";40;"Node39";"-";"-";"-";14;6;8;0.156184531049618;1;7.59229996777647e-16;4.97055512907094e-17;0.000582490061017902;"-";"-"
"1-Multi";41;"Node40";"-";"-";"-";22;15;7;0.372084792943186;1;7.23139812331769e-16;-2.35857147461866e-17;0.00017975141957955;"-";"-"
"1-Multi";42;"Node41";"-";"-";"-";19;11;8;0.190036370588351;1;-3.19131508092295e-16;7.39699723511617e-17;0.00023180165297935;"-";"-"
"1-Multi";43;"Node42";"-";"-";"-";17;11;6;0.276513132122956;1;3.94809473702183e-16;2.42334103957333e-17;0.000297270572841892;"-";"-"
"1-Multi";44;"Node43";"-";"-";"-";19;10;9;0.555948880914062;1;-3.8978604253874e-16;1.11809712232392e-16;0.00101856638095752;"-";"-"
"1-Multi";45;"Node44";"-";"-";"-";20;15;5;0.270770720406606;1;4.28518369243367e-18;6.39752023752775e-17;0.000182022385051754;"-";"-"
"1-Multi";46;"Node45";"-";"-";"-";30;21;9;0.618402988190492;1;-8.44386230629706e-17;-1.95815982558337e-16;0.000539739238457353;"-";"-"
"1-Multi";47;"Node46";"-";"-";"-";13;6;7;0.12576911480748;1;-1.86910488664582e-16;9.85404985197473e-17;0.000176704811580847;"-";"-"
"1-Multi";48;"Node47";"-";"-";"-";12;4;8;0.0893332095921219;1;1.35734967979139e-16;6.06997085147294e-17;0.000174711657463492;"-";"-"
"1-Multi";49;"Node48";"-";"-";"-";8;2;6;0.106768006068544;1;-7.43466866960231e-16;8.19389243886224e-17;0.000264322254788674;"-";"-"
"1-Multi";50;"Node49";"-";"-";"-";7;3;4;0.136815641993937;1;-3.27082634259361e-16;8.69091419522254e-17;5.95806949145928e-05;"-";"-"
"1-Multi";51;"Node50";"-";"-";"-";12;5;7;0.100762543762299;1;2.59256635363005e-16;8.86149691594693e-17;0.000601796496222661;"-";"-"
"1-Multi";52;"Node51";"-";"-";"-";15;6;9;0.206199384175442;1;9.67758009754901e-17;-1.03841837262576e-17;0.000376073415943705;"-";"-"
"1-Multi";53;"Node52";"-";"-";"-";12;5;7;0.100213445030183;1;-1.26058133834814e-16;6.35987262373482e-17;0.000183067171151729;"-";"-"
"1-Multi";54;"Node53";"-";"-";"-";18;11;7;0.418889450097125;1;-1.74140013171389e-16;5.29619293037571e-17;0.000857142284800192;"-";"-"
"1-Multi";55;"Node54";"-";"-";"-";27;20;7;0.289173785552598;1;-8.16498850526936e-16;-1.24839660127867e-16;0.000145424350832222;"-";"-"
"1-Multi";56;"Node55";"-";"-";"-";18;9;9;0.177464841970392;1;-2.01279556536129e-15;9.09467912837925e-17;0.000200047121234724;"-";"-"
"1-Multi";57;"Node56";"-";"-";"-";15;7;8;0.106183081516387;1;-4.1297982804353e-15;1.21858368090843e-17;0.000191174121680064;"-";"-"
"1-Multi";58;"Node57";"-";"-";"-";14;5;9;0.100919355317248;1;-3.12419900504297e-16;9.05411329521501e-17;0.000144052763224343;"-";"-"
"1-Multi";59;"Node58";"-";"-";"-";9;3;6;0.23588305272391;1;-1.44323928897839e-16;8.16295926421526e-17;0.000152883869776934;"-";"-"
"1-Multi";60;"Node59";"-";"-";"-";10;2;8;0.0686363149372083;1;-7.40059911121294e-16;7.94112417608136e-17;0.000220268193243888;"-";"-"
"1-Multi";61;"Node60";"-";"-";"-";16;8;8;0.289757663772306;1;-3.58217152389056e-16;8.43034742345493e-17;9.31162246057316e-05;"-";"-"
"1-Multi";62;"Node61";"-";"-";"-";8;1;7;0.0550562951487463;1;4.63901892134928e-16;7.70944610573003e-17;0.000795932832169658;"-";"-"
"1-Multi";63;"Node62";"-";"-";"-";6;1;5;0.0537147176026425;1;-4.21215392644718e-16;7.94505556483811e-17;9.77000847745977e-05;"-";"-"
"1-Multi";64;"Node63";"-";"-";"-";9;2;7;0.229283285295102;1;-1.49941572306538e-15;7.94564491882962e-17;0.000135668879771895;"-";"-"
"1-Multi";65;"Node64";"-";"-";"-";13;5;8;0.120323308964572;1;-4.76074595072039e-16;9.23147071821395e-17;0.000158000969501564;"-";"-"
"1-Multi";66;"Node65";"-";"-";"-";11;4;7;0.142070384445366;1;-1.00515270518127e-15;6.8369188162708e-17;0.000161047218831279;"-";"-"
"1-Multi";67;"Node66";"-";"-";"-";11;2;9;0.0638742297944264;1;-1.93169277136907e-16;7.83098736003094e-17;0.000210627943549607;"-";"-"
"1-Multi";68;"Node67";"-";"-";"-";6;1;5;0.0645320334525717;1;-3.39703895720106e-16;3.41516195080735e-17;8.7347411866435e-05;"-";"-"
"1-Multi";69;"Node68";"-";"-";"-";15;8;7;0.312257722397382;1;-7.29585792471224e-17;1.00843492341222e-16;0.000157262874776296;"-";"-"
"1-Multi";70;"Node69";"-";"-";"-";6;5;1;0.190845065822917;1;2.61486759423661e-16;2.85006510020613e-17;3.95745526469381e-05;"-";"-"
"1-Multi";71;"Node70";"-";"-";"-";6;0;6;0.0465865936151102;1;9.27067641639279e-18;7.51382287416082e-17;0.000141705524095495;"-";"-"
"1-Multi";72;"Node71";"-";"-";"-";4;1;3;0.0527259121535357;1;7.72425610243366e-16;7.79816320290634e-17;0.000132806352623465;"-";"-"
"1-Multi";73;"Node72";"-";"-";"-";4;0;4;0.0465865936151102;1;-1.86211828219446e-16;7.51382287416082e-17;0.000140757928141394;"-";"-"
"1-Multi";74;"Node73";"-";"-";"-";2;0;2;0.0465865936151102;1;-1.0563023081085e-16;7.51382287416082e-17;5.20572791701053e-05;"-";"-"
"1-Multi";75;"Node74";"-";"-";"-";3;0;3;0.0465865936151102;1;-4.61818927505226e-15;7.51382287416082e-17;8.1241955429144e-05;"-";"-"
"1-Multi";76;"Node75";"-";"-";"-";8;2;6;0.0594561401012845;1;-1.51666973706857e-16;8.02909423786254e-17;0.000149906214249421;"-";"-"
"1-Multi";77;"Node76";"-";"-";"-";12;6;6;0.165582024210657;1;-3.5995159008895e-16;9.32182635946129e-17;0.00017654846017529;"-";"-"
"1-Multi";78;"Node77";"-";"-";"-";11;2;9;0.074739004032754;1;5.28389465455764e-17;8.04794236278185e-17;0.00018208922911691;"-";"-"
"1-Multi";79;"Node78";"-";"-";"-";9;3;6;0.251956283424332;1;-4.51703483487696e-15;8.35432612868132e-17;8.45195869225267e-05;"-";"-"
"1-Multi";80;"Node79";"-";"-";"-";7;1;6;0.0559912622011607;1;-4.8040297910072e-15;7.75002620655685e-17;0.000130957226327731;"-";"-"
"1-Multi";81;"Node80";"-";"-";"-";15;9;6;0.417674337332776;1;1.49826074934834e-15;9.98957618784705e-17;0.000312216279771928;"-";"-"
"1-Multi";82;"Node81";"-";"-";"-";12;6;6;0.138435603196617;1;5.14832592624573e-16;8.42864265731788e-17;0.000318886115175581;"-";"-"
"1-Multi";83;"Node82";"-";"-";"-";18;13;5;0.176718659188166;1;-1.00464363635149e-15;2.58934193899128e-17;0.000119153294974423;"-";"-"
"1-Multi";84;"Node83";"-";"-";"-";9;4;5;0.126545607724772;1;2.86258194529457e-16;8.98553863265068e-17;0.000180309236923052;"-";"-"
"1-Multi";85;"Node84";"-";"-";"-";4;0;4;0.0465865936151102;1;-4.0725382790761e-16;7.51382287416082e-17;9.18427901379265e-05;"-";"-"
"1-Multi";86;"Node85";"-";"-";"-";8;2;6;0.0836461011189605;1;-8.13927928803223e-16;8.32179308908194e-17;0.00047675914667448;"-";"-"
"1-Multi";87;"Node86";"-";"-";"-";17;11;6;0.162197664372759;1;5.39874637626564e-16;1.11015713146386e-16;0.000172687220507613;"-";"-"
"1-Multi";88;"Node87";"-";"-";"-";2;2;0;0.0578795289932917;1;3.59492074145367e-16;8.2192630321713e-17;2.99784864541435e-05;"-";"-"
"1-Multi";89;"Node88";"-";"-";"-";7;6;1;0.18282798890348;1;-9.15450984821648e-17;9.03839019835455e-17;4.34240113709667e-05;"-";"-"
"1-Multi";90;"Node89";"-";"-";"-";19;10;9;0.143223439902079;1;2.10984136844394e-16;1.06861371534187e-16;0.000376455701570482;"-";"-"
"1-Multi";91;"Node90";"-";"-";"-";5;2;3;0.0571257571060739;1;-9.49562047826918e-16;8.19597421149948e-17;6.95268735974899e-05;"-";"-"
"1-Multi";92;"Node91";"-";"-";"-";13;4;9;0.122666309189422;1;-1.87350509693979e-16;8.82799525208022e-17;0.000191244687582193;"-";"-"
"1-Multi";93;"Node92";"-";"-";"-";16;9;7;0.163674726157649;1;2.18848503645258e-15;1.04780656724687e-16;0.000205418658354918;"-";"-"
"1-Multi";94;"Node93";"-";"-";"-";25;19;6;0.503915692451;1;-1.23548027698732e-15;-5.07543017990459e-16;0.000114897261605092;"-";"-"
"1-Multi";95;"Node94";"-";"-";"-";19;11;8;0.277831064074146;1;2.91409734925551e-16;-1.68763216766817e-17;0.00079744161812269;"-";"-"
"1-Multi";96;"Node95";"-";"-";"-";14;6;8;0.156964920383415;1;3.50628053528593e-16;8.35986067350249e-17;0.000182376387496933;"-";"-"
"1-Multi";97;"Node96";"-";"-";"-";10;4;6;0.151718922763779;1;-1.09062791740176e-16;8.66124395221288e-17;8.2349479615105e-05;"-";"-"
"1-Multi";98;"Node97";"-";"-";"-";24;17;7;0.300116778047616;1;-2.64818358164623e-15;-7.34324920084762e-18;0.00028298780451469;"-";"-"
"1-Multi";99;"Node98";"-";"-";"-";15;6;9;0.132267653294275;1;-4.54879053307387e-15;9.76120069203789e-17;0.000234655740007404;"-";"-"
"1-Multi";100;"Node99";"-";"-";"-";31;25;6;0.660207016928948;1;4.91251204058762e-16;1.16470940451437e-16;0.000504783759819292;"-";"-"
"1-Multi";101;"Node100";"-";"-";"-";19;11;8;0.280146829071291;1;-7.46404448787119e-16;1.02600815738239e-16;0.000161108243565793;"-";"-"
"1-Multi";102;"Node101";"-";"-";"-";18;9;9;0.183954462941229;1;-2.29036051510668e-16;1.06401958304298e-16;0.000240467279256987;"-";"-"
"1-Multi";103;"Node102";"-";"-";"-";15;7;8;0.126594581036763;1;-5.72249997474697e-16;6.36371798459749e-17;0.000207652799767721;"-";"-"
"1-Multi";104;"Node103";"-";"-";"-";12;5;7;0.0978707503912851;1;-2.5640764758627e-16;7.17497667517769e-17;6.37516898279019e-05;"-";"-"
"1-Multi";105;"Node104";"-";"-";"-";5;1;4;0.0865637399110448;1;9.92673390016555e-16;7.70928799687198e-17;0.000101900458192626;"-";"-"
"1-Multi";106;"Node105";"-";"-";"-";19;15;4;0.17725161638132;1;-1.73406675170014e-15;9.19950558233921e-17;7.8414235497092e-05;"-";"-"
"1-Multi";107;"Node106";"-";"-";"-";5;0;5;0.0465865936151102;1;-1.90065847959268e-16;7.51382287416082e-17;9.96791789534967e-05;"-";"-"
"1-Multi";108;"Node107";"-";"-";"-";11;4;7;0.162508728684538;1;-7.44859042859939e-17;8.58754826042548e-17;0.000166539732292985;"-";"-"
"1-Multi";109;"Node108";"-";"-";"-";11;8;3;0.150674084359777;1;2.50065979836017e-16;3.33202373055738e-17;5.59038136551464e-05;"-";"-"
"1-Multi";110;"Node109";"-";"-";"-";11;11;0;0.204857697650917;1;3.59492074145367e-16;1.01695582157456e-16;2.99784864541435e-05;"-";"-"
"1-Multi";111;"Node110";"-";"-";"-";14;14;0;0.303466552803993;1;3.59492074145367e-16;6.65365568883421e-17;2.99784864541435e-05;"-";"-"
"1-Multi";112;"Node111";"-";"-";"-";2;2;0;0.162719788234276;1;3.59492074145367e-16;7.95916875092721e-17;2.99784864541435e-05;"-";"-"
"1-Multi";113;"Node112";"-";"-";"-";3;3;0;0.0903035289770006;1;3.59492074145367e-16;8.5846691072601e-17;2.99784864541435e-05;"-";"-"
"1-Multi";114;"Node113";"-";"-";"-";4;4;0;0.122743926037593;1;3.59492074145367e-16;8.91436015241431e-17;2.99784864541435e-05;"-";"-"
"1-Multi";115;"Node114";"-";"-";"-";2;2;0;0.063196008310942;1;3.59492074145367e-16;8.06528718462132e-17;2.99784864541435e-05;"-";"-"
"1-Multi";116;"Node115";"-";"-";"-";3;3;0;0.0873497408693031;1;3.59492074145367e-16;7.29092831221866e-17;2.99784864541435e-05;"-";"-"
"1-Multi";117;"Node116";"-";"-";"-";3;3;0;0.0861873553630005;1;3.59492074145367e-16;8.59878362525157e-17;2.99784864541435e-05;"-";"-"
"1-Multi";118;"Node117";"-";"-";"-";12;4;8;0.113883526666269;1;0.250837418033997;0.0506173439715877;0.000159743780716516;"-";"-"
"1-Multi";119;"Node118";"-";"-";"-";14;5;9;0.0755437127213501;1;0.0372051170520998;0.00480204667700046;0.000161488758614319;"-";"-"
"1-Multi";120;"Node119";"-";"-";"-";15;6;9;0.142702073578972;1;0.6803686381039;0.0513674673836918;0.00016902436066123;"-";"-"
"1-Multi";121;"Node120";"-";"-";"-";13;4;9;0.0711438677688118;1;0.0372051170520997;0.00480204667700046;0.000157944220808918;"-";"-"
"1-Multi";122;"Node121";"-";"-";"-";57;48;9;0.775877719157991;1;0.333130808420478;1;0.000172107928313228;"-";"-"
"1-Multi";123;"Node122";"-";"-";"-";20;11;9;0.173195351176645;1;1;0.00480204667700047;0.00019243379700628;"-";"-"
"1-Multi";124;"Node123";"-";"-";"-";9;0;9;0.0465865936151102;1;0.289377652910697;7.51382287416082e-17;0.000198829785724648;"-";"-"
"1-Multi";125;"Node124";"-";"-";"-";17;8;9;0.161872988086894;1;0.565005187031197;0.0186749176815124;0.000196324059981329;"-";"-"
