"Layer";"Node";"Label";"Degree";"DegreeIn";"DegreeOut";"Strength";"StrengthIn";"StrengthOut";"PageRank";"Eigenvector";"Hub";"Authority";"Katz";"Multiplexity";"Kcore"
"1";1;"U102";2;2;2;"-";"-";"-";0.291426604808304;0.0206131158696983;0.0205956783973573;0.0205956783973573;0.0205991903034127;"-";"-"
"1";2;"U139";1;1;1;"-";"-";"-";0.188535752480489;0.00240665017333792;0.00237969687929021;0.00237969687929021;0.00238095393041359;"-";"-"
"1";3;"U33";6;6;6;"-";"-";"-";0.469353668914786;0.175732811681207;0.175870723306112;0.175870723306112;0.175886926111514;"-";"-"
"1";4;"U106";7;7;7;"-";"-";"-";0.480095525264573;0.0493488817605409;0.0493791832849737;0.0493791832849737;0.0493978901771309;"-";"-"
"1";5;"U107";3;3;3;"-";"-";"-";0.262902523736677;0.00672387184888707;0.00671855867745944;0.00671855867745944;0.00672649933735555;"-";"-"
"1";6;"U118";6;6;6;"-";"-";"-";0.424994124466857;0.021993943797181;0.0219949835341634;0.0219949835341634;0.0220109265759759;"-";"-"
"1";7;"U123";6;6;6;"-";"-";"-";0.402384910819171;0.27608467130908;0.276249553772409;0.276249553772409;0.276264395733418;"-";"-"
"1";8;"U1";7;7;7;"-";"-";"-";0.534194845003704;0.00924070661289418;0.0092203123016012;0.0092203123016012;0.00923840097977772;"-";"-"
"1";9;"U21";6;6;6;"-";"-";"-";0.379748666935009;0.229798316602945;0.23000996123833;0.23000996123833;0.23002745472697;"-";"-"
"1";10;"U22";6;6;6;"-";"-";"-";0.424994124466857;0.0219939413396783;0.0219949835341634;0.0219949835341634;0.0220109265759759;"-";"-"
"1";11;"U26";6;6;6;"-";"-";"-";0.424994124466857;0.0219939400652604;0.0219949835341634;0.0219949835341634;0.0220109265759759;"-";"-"
"1";12;"U29";5;5;5;"-";"-";"-";0.398415869323369;0.00873477863218744;0.00872729043340239;0.00872729043340239;0.00874078473159798;"-";"-"
"1";13;"U32";7;7;7;"-";"-";"-";0.530039515437609;0.0402238937921861;0.0402174750664606;0.0402174750664606;0.0402349695803568;"-";"-"
"1";14;"U41";5;5;5;"-";"-";"-";0.362090765248504;0.019921694209489;0.0199306473195243;0.0199306473195243;0.0199443991937682;"-";"-"
"1";15;"U42";7;7;7;"-";"-";"-";0.481694731667083;0.0571462781010702;0.0571306094625838;0.0571306094625838;0.0571471685878495;"-";"-"
"1";16;"U49";5;5;5;"-";"-";"-";0.362090765248504;0.0199216932273259;0.0199306473195243;0.0199306473195243;0.0199443991937682;"-";"-"
"1";17;"U59";7;7;7;"-";"-";"-";0.439872106004428;0.231330997206151;0.23158024223777;0.23158024223777;0.231602162402003;"-";"-"
"1";18;"U97";8;8;8;"-";"-";"-";0.500623186952512;0.264175397038698;0.264387566080773;0.264387566080773;0.264409725364108;"-";"-"
"1";19;"U124";4;4;4;"-";"-";"-";0.26504505366268;0.297950969089814;0.297988612152919;0.297988612152919;0.297991664269947;"-";"-"
"1";20;"U17";6;6;6;"-";"-";"-";0.466803101325619;0.0092183082340207;0.00920267126779879;0.00920267126779879;0.00921825687492085;"-";"-"
"1";21;"U71";6;6;6;"-";"-";"-";0.40745723671348;0.200926124168154;0.201121705600454;0.201121705600454;0.201139542501824;"-";"-"
"1";22;"U86";1;1;1;"-";"-";"-";0.127983109004716;0.0340832418076151;0.0340901914065994;0.0340901914065994;0.0340918162535832;"-";"-"
"1";23;"U91";7;7;7;"-";"-";"-";0.439872106004428;0.231330998832427;0.23158024223777;0.23158024223777;0.231602162402003;"-";"-"
"1";24;"U109";12;12;12;"-";"-";"-";0.653874865501312;1;1;1;1;"-";"-"
"1";25;"U126";15;15;15;"-";"-";"-";0.8618020752607;0.648440218609603;0.648725550658945;0.648725550658945;0.648754066728035;"-";"-"
"1";26;"U130";6;6;6;"-";"-";"-";0.446849389890044;0.294983385913914;0.295042038683554;0.295042038683554;0.295052338502914;"-";"-"
"1";27;"U134";12;12;12;"-";"-";"-";0.710276575912424;0.842167214846923;0.842196001118508;0.842196001118508;0.842202243841259;"-";"-"
"1";28;"U18";8;8;8;"-";"-";"-";0.44270066453997;0.779597605365451;0.779576260899275;0.779576260899275;0.779571536739415;"-";"-"
"1";29;"U3";7;7;7;"-";"-";"-";0.391918138811651;0.718363258916154;0.718356090780378;0.718356090780378;0.718351408508833;"-";"-"
"1";30;"U47";5;5;5;"-";"-";"-";0.323438878618175;0.3392373783822;0.33922563764766;0.33922563764766;0.339227941680757;"-";"-"
"1";31;"U54";9;9;9;"-";"-";"-";0.492171996167266;0.872734784033864;0.8727797431173;0.8727797431173;0.872778425067993;"-";"-"
"1";32;"U62";8;8;8;"-";"-";"-";0.442774649477928;0.805586273526042;0.805587362151578;0.805587362151578;0.805583090545402;"-";"-"
"1";33;"U76";9;9;9;"-";"-";"-";0.493445665834543;0.86682062618204;0.866807532270475;0.866807532270475;0.866803218775985;"-";"-"
"1";34;"U79";13;13;13;"-";"-";"-";0.724945890388382;0.989723827383298;0.989728058182649;0.989728058182649;0.989729841887913;"-";"-"
"1";35;"U90";10;10;10;"-";"-";"-";0.545345696633544;0.902660129724732;0.902712463534881;0.902712463534881;0.902712974386022;"-";"-"
"1";36;"U99";7;7;7;"-";"-";"-";0.413653978070512;0.591090454659315;0.591065355937853;0.591065355937853;0.591064272504909;"-";"-"
"1";37;"U10";3;3;3;"-";"-";"-";0.26128459674289;0.0027170672191902;0.00272042686342107;0.00272042686342107;0.00272903859800998;"-";"-"
"1";38;"U13";3;3;3;"-";"-";"-";0.253790014826867;0.152755928809017;0.152796402815795;0.152796402815795;0.152801840767429;"-";"-"
"1";39;"U142";2;2;2;"-";"-";"-";0.193253282971239;0.0655329106244798;0.0655651314445946;0.0655651314445946;0.0655701587308601;"-";"-"
"1";40;"U14";8;8;8;"-";"-";"-";0.601303323165173;0.0102011364327713;0.0101734879443674;0.0101734879443674;0.0101939708011962;"-";"-"
"1";41;"U19";5;5;5;"-";"-";"-";0.399118566625433;0.00415877795677028;0.00415081052784746;0.00415081052784746;0.00416416698347288;"-";"-"
"1";42;"U23";5;5;5;"-";"-";"-";0.392366262019146;0.0048196588419974;0.00482221530771067;0.00482221530771067;0.00483628617544721;"-";"-"
"1";43;"U37";6;6;6;"-";"-";"-";0.379748666935009;0.229798316793834;0.23000996123833;0.23000996123833;0.23002745472697;"-";"-"
"1";44;"U4";15;15;15;"-";"-";"-";1;0.414522614018994;0.414653331251218;0.414653331251218;0.41468358046622;"-";"-"
"1";45;"U73";6;6;6;"-";"-";"-";0.458479241800889;0.00898871442746851;0.00898777947178611;0.00898777947178611;0.00900440441050937;"-";"-"
"1";46;"U110";7;7;7;"-";"-";"-";0.45001046830322;0.232418398786025;0.232629634408539;0.232629634408539;0.232649092567226;"-";"-"
"1";47;"U113";5;5;5;"-";"-";"-";0.336019321440924;0.188441372544595;0.188629684775436;0.188629684775436;0.188645291667343;"-";"-"
"1";48;"U138";3;3;3;"-";"-";"-";0.222919008798023;0.129893756865344;0.130018452168514;0.130018452168514;0.130027721746193;"-";"-"
"1";49;"U53";5;5;5;"-";"-";"-";0.335068900297944;0.129712760399197;0.129871469701091;0.129871469701091;0.1298866218047;"-";"-"
"1";50;"U65";5;5;5;"-";"-";"-";0.333167152326856;0.140104600535786;0.140293020236086;0.140293020236086;0.140309464032975;"-";"-"
