"Layer";"Node";"Label";"Degree";"DegreeIn";"DegreeOut";"Strength";"StrengthIn";"StrengthOut";"PageRank";"Eigenvector";"Hub";"Authority";"Katz";"Multiplexity";"Kcore"
"1";1;"Node0";3;3;3;"-";"-";"-";0.693180618964841;6.35384202603658e-06;0;0;1.21215983191123e-05;"-";"-"
"1";2;"Node1";3;3;3;"-";"-";"-";0.693180618964599;6.35566252555107e-06;0;0;1.21215983191123e-05;"-";"-"
"1";3;"Node2";3;3;3;"-";"-";"-";0.693180618964335;6.35668576264613e-06;0;0;1.21215983191123e-05;"-";"-"
"1";4;"Node3";3;3;3;"-";"-";"-";0.69318061896405;6.35603855480702e-06;0;0;1.21215983191123e-05;"-";"-"
"1";5;"Node4";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";6;"Node5";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";7;"Node6";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";8;"Node7";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";9;"Node8";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";10;"Node9";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";11;"Node10";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";12;"Node11";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";13;"Node12";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";14;"Node13";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";15;"Node14";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";16;"Node15";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";17;"Node16";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";18;"Node17";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";19;"Node18";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";20;"Node19";3;3;3;"-";"-";"-";0.3374870296367;0.0809386027845933;0.0809394551551112;0.0809394551551112;0.0809421079837865;"-";"-"
"1";21;"Node20";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";22;"Node21";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";23;"Node22";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";24;"Node23";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";25;"Node24";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";26;"Node25";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";27;"Node26";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";28;"Node27";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";29;"Node28";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";30;"Node29";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";31;"Node30";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";32;"Node31";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";33;"Node32";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";34;"Node33";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";35;"Node34";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";36;"Node35";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";37;"Node36";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";38;"Node37";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";39;"Node38";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";40;"Node39";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";41;"Node40";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";42;"Node41";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";43;"Node42";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";44;"Node43";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";45;"Node44";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";46;"Node45";8;8;8;"-";"-";"-";0.662247372803462;0.489812566727952;0.489809333515227;0.489809333515227;0.489812649281951;"-";"-"
"1";47;"Node46";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";48;"Node47";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";49;"Node48";10;10;10;"-";"-";"-";0.729998532676287;0.415627125983826;0.415600315966824;0.415600315966824;0.415604617841898;"-";"-"
"1";50;"Node49";10;10;10;"-";"-";"-";1;0.999999998575578;1;1;1;"-";"-"
"1";51;"Node50";8;8;8;"-";"-";"-";0.66224737280318;0.489812564862476;0.489809333515227;0.489809333515227;0.489812649281951;"-";"-"
"1";52;"Node51";10;10;10;"-";"-";"-";0.999999999999629;1;1;1;1;"-";"-"
"1";53;"Node52";10;10;10;"-";"-";"-";0.72999853267581;0.415627127145018;0.415600315966824;0.415600315966824;0.415604617841898;"-";"-"
"1";54;"Node53";10;10;10;"-";"-";"-";0.647981473715076;0.589793545004159;0.589761101917193;0.589761101917193;0.589761974645797;"-";"-"
"1";55;"Node54";8;8;8;"-";"-";"-";0.662247372802712;0.489812564243897;0.489809333515227;0.489809333515227;0.489812649281951;"-";"-"
"1";56;"Node55";10;10;10;"-";"-";"-";0.999999999998989;0.999999999236402;1;1;1;"-";"-"
"1";57;"Node56";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";58;"Node57";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";59;"Node58";1;1;1;"-";"-";"-";0.693180618964749;2.117764096172e-06;0;0;1.21215983191382e-05;"-";"-"
"1";60;"Node59";1;1;1;"-";"-";"-";0.693180618964219;2.11938427348105e-06;0;0;1.21215983191382e-05;"-";"-"
"1";61;"Node60";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";62;"Node61";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";63;"Node62";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";64;"Node63";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";65;"Node64";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";66;"Node65";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";67;"Node66";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";68;"Node67";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";69;"Node68";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";70;"Node69";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
"1";71;"Node70";0;0;0;"-";"-";"-";0.103977092845163;2.11922192838609e-06;0;0;0;"-";"-"
