"Layer";"Node";"Label";"Strength";"StrengthIn";"StrengthOut";"Degree";"DegreeIn";"DegreeOut";"PageRank";"Eigenvector";"Hub";"Authority";"Katz";"Multiplexity";"Kcore"
"1-Multi";1;"I1";"-";"-";"-";16;8;8;0.390750593814668;1;0.735549573425623;0.735549573425621;0.735475472979836;"-";"-"
"1-Multi";2;"I3";"-";"-";"-";14;7;7;0.416719812004147;1;3.01528423069217e-16;3.06858101486385e-16;0.000103524768383673;"-";"-"
"1-Multi";3;"W1";"-";"-";"-";28;13;15;0.589763436697729;1;1;1;0.999878050656143;"-";"-"
"1-Multi";4;"W2";"-";"-";"-";22;10;12;0.589022542553153;1;0.876329516911072;0.876329516911071;0.87623499867565;"-";"-"
"1-Multi";5;"W3";"-";"-";"-";34;19;15;0.82823518325381;1;1;1;0.999878894144761;"-";"-"
"1-Multi";6;"W4";"-";"-";"-";39;19;20;0.858867409005717;1;0.999999999999999;0.999999999999998;1;"-";"-"
"1-Multi";7;"W5";"-";"-";"-";33;16;17;0.685634949583277;1;0.775411115247345;0.775411115247345;0.775446496033638;"-";"-"
"1-Multi";8;"W6";"-";"-";"-";33;16;17;0.654913981552084;1;0.0690315526747361;0.0690315526747347;0.0692994442703835;"-";"-"
"1-Multi";9;"W7";"-";"-";"-";44;23;21;1;1;0.203711892728304;0.203711892728303;0.203942633812517;"-";"-"
"1-Multi";10;"W8";"-";"-";"-";41;20;21;0.931088249633351;1;0.0800414096393744;0.0800414096393735;0.0802947082036991;"-";"-"
"1-Multi";11;"W9";"-";"-";"-";40;21;19;0.880421456514924;1;0.0800414096393742;0.0800414096393736;0.0802882726162281;"-";"-"
"1-Multi";12;"S1";"-";"-";"-";41;21;20;0.846575571263157;1;0.882687042663314;0.882687042663314;0.882735964609483;"-";"-"
"1-Multi";13;"S2";"-";"-";"-";3;1;2;0.17229209707319;1;2.12010397504521e-16;2.29001646185942e-16;6.64053917439217e-05;"-";"-"
"1-Multi";14;"S4";"-";"-";"-";28;14;14;0.815849547543933;1;0.0690315526747363;0.0690315526747359;0.0692328026463162;"-";"-"
"2-Multi";1;"I1";"-";"-";"-";16;8;8;0.390750593814668;1;0.735549573425623;0.735549573425621;0.735475472979836;"-";"-"
